City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
24,Kilinochchi,LK,89.47,scattered clouds,9.3961,80.3982,Solaivanam Guest House
37,Kirakira,SB,83.62,broken clouds,-10.4544,161.9205,SanBiz Lodge
45,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
67,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
68,Fereydun Kenar,IR,80.58,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
83,Georgetown,MY,84.13,scattered clouds,5.4112,100.3354,Cititel Penang
89,Kuala Terengganu,MY,85.68,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
91,Ishigaki,JP,85.14,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
101,Dingle,PH,87.85,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
110,Port Blair,IN,86.04,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
111,Tura,IN,81.3,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
113,El Fuerte,MX,87.91,overcast clouds,26.4189,-108.6194,Hotel Rio Vista
125,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
129,Sweetwater,US,84.99,scattered clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
134,Arona,ES,82.9,clear sky,28.0996,-16.681,Paradise Court
143,Cockburn Town,TC,81.99,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
144,Laguna,US,82.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
145,Cairns,AU,84.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
149,Waingapu,ID,84.61,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
157,Gizo,SB,84.11,overcast clouds,-8.103,156.8419,Imagination Island
159,Biak,ID,80.83,scattered clouds,-0.9131,122.8766,Penginapan Kim
169,Filadelfia,US,83.01,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
170,Nizwa,OM,87.46,overcast clouds,22.9333,57.5333,Orient Apartments
182,Karachi,PK,84.02,mist,24.9056,67.0822,Sadaat
195,Todos Santos,MX,87.3,few clouds,23.45,-110.2167,Hotel California Todos Santos
